station_name	station_code	elevated	toilet	parking_available	parking_cycle	parking_motorcycle	parking_car	gate_location	lat	lon	contractor	contact_number	parking_lat	parking_lon
shankar vihar	SKVR	FALSE	TRUE	FALSE	0	0	0		29	77				
seelampur	SLAP	TRUE	FALSE	TRUE	90	900	200	Near Gate No.1	29	77	M/s. Sanjeev Kumar.	9910719234	29	77
sultanpur	SLTP	TRUE	TRUE	TRUE	9	84	8	Near Gate No. 1	28	77	M/s. Consortium of Rich Pal Singh & M/s Rich Pal Singh and Co.	9891327777	28	77
shalimar bagh	SMBG	FALSE	TRUE	FALSE	0	0	0		29	77				
shyam park	SMPK	TRUE	TRUE	FALSE	0	0	0		29	77				
maharaja surajmal stadium	SMSM	TRUE	TRUE	FALSE	0	0	0		29	77				
subhash nagar	SN	TRUE	TRUE	TRUE	27	255	25	Near to Gate 02 & 04	29	77	M/s. MAAC International Facility Management Private Limited.	9958986677	29	77
south extension	SOEN	FALSE	TRUE	FALSE	0	0	0		29	77				
sarojini nagar	SOJI	FALSE	TRUE	FALSE	0	0	0		29	77				
shadipur	SP	TRUE	TRUE	TRUE	95	911	89	Near Gate No. 7	29	77	M/s. Lakhvinder Singh.	9711113313	29	77
samaypur badli	SPBI	TRUE	TRUE	FALSE	0	0	0		29	77				
sarai	SRAI	TRUE	TRUE	TRUE	25	240	23	Near Gate No.2	28	77	M/s. Ashok Kumar Sharma	9868266382	28	77
satguru ram singh marg	SRSM	TRUE	TRUE	FALSE	0	0	0		29	77				
sector - 61 noida	SSON	TRUE	TRUE	FALSE	0	0	0							
sector - 62 noida	SSTN	TRUE	TRUE	FALSE	0	0	0							
sector - 34 noida	STFN	TRUE	TRUE	FALSE	0	0	0							
sector-28	STTA	TRUE	TRUE	TRUE	44	223	41	Near Gate No.2	28	77	M/s. V Inspirer Facility Management Pvt. Ltd	9910803493	28	77
sarita vihar	STVR	TRUE	TRUE	TRUE	70	667	65	Near Gate No.2	29	77	M/s. Milestone Security and Placement Services.	"9990053233
9873126174"	29	77
